subID,FL_common,FL_no common,NonFL_common,NonFL_no common
1,968.4285714,1134.295455,1084.410256,1296.0625
2,1721.457143,1592.434783,1591.055556,1509.290323
3,1460.4,1544.368421,1488.692308,1594.354839
4,1387.193548,1500.5,1406.585366,1625.5
5,1210.703704,1508.756757,1250.5625,1428.409091
6,1435.631579,1182.772727,1270.611111,1102.714286
7,1494.029412,1622.422222,1586.375,1512.655172
8,1020.75,1057.395833,976.4634146,1258.967742
9,1335.083333,1518.297872,1507.904762,1527.34375
10,1237.742857,1504.608696,1322.542857,1436.724138
11,1398.030303,1547.318182,1570.461538,1694.903226
12,1383.028571,1427.434783,1380.631579,1763.964286
13,950.4736842,684.4,539.4285714,1017.375
14,1484.413793,1418.371429,1726.264706,1818.269231
15,1453.5,1426.923077,1609.151515,1463.692308
16,1122.558824,1335.159091,1289.461538,1426.16
17,1399.481481,1480.853659,1740.647059,1582.307692
18,1169.709677,1200.27027,1223.057143,1138.230769
19,1605.88,1200.828571,1413.291667,1583.791667
20,1426.34375,1361.944444,1377.351351,1487.217391
21,920.0277778,1177.166667,959.4634146,1240.03125
22,1070.705882,1298.255319,1326.268293,1744
23,1443.655172,1240.361111,1174.233333,1350
24,1869.40625,1793.111111,1945.783784,1925.566667
25,1229.722222,1400.319149,1238.625,1516.870968
26,1024.75,1134.26087,1039.585366,1318.0625
27,1705.758621,1781.738095,1668.805556,1690.322581
28,1595.7,1679,1470.086957,1704.75
29,1233.676471,1146.404255,1314.02439,1403.258065
30,1515.117647,1579.119048,1651.486486,1753.741935
31,992.0555556,1306.977273,832.1219512,1308.612903
32,1151.6,1116.434783,1118.02381,1226.40625
33,1320.558824,1705.6,1425.380952,1794.354839
34,740.25,650.8214286,817.7916667,718.5625
35,1890.714286,2098.52,1994.230769,1870.947368
36,1197.53125,1377.146341,1292.625,1489.32
37,1512.652174,1378,1529.64,1511.363636
38,1232.2,1230.270833,1274.634146,1353.75
39,921.9090909,1245.464286,1161.266667,1143.142857
40,1427.65625,1425.510638,1523.5,1605.111111
41,1679.542857,1602.065217,1700.27027,1758.392857
42,1430.676471,1636.111111,1597.805556,1806.071429
43,1128.555556,1525.5625,1217.642857,1501.625
44,1334.484848,1372.697674,1378.692308,1427.965517
45,1348.645161,1446.666667,1495.129032,1350.357143
46,1772.733333,1735.235294,1532.954545,1870.071429
47,1394.606061,1356.9375,1307.657895,1605.354839
48,1353.916667,1413.434783,1532.238095,1472.451613
49,1250.944444,1513.088889,1439.878049,1401.451613
50,1177.588235,1202.704545,1071.25,1431.931034
51,1215.583333,1259.307692,1022.090909,1229.133333
52,1625.375,1757.8,1951.771429,1692.642857
53,830.0606061,1021.583333,815.5714286,1230.548387
54,1076.666667,1140.347826,1061.8,1219.25
55,1416.130435,1152.433333,997.2272727,1824.75
56,869.9705882,1064.375,956.0714286,1142.870968
57,957.5,1051.75,1010.4,1426.387097
58,1205.5,1449,1153.15,1249.903226
59,1355.029412,1262.608696,1340.052632,1410.451613
60,1151.861111,1204.177778,1131.1,1477.741935
61,973.6774194,1176.627907,1254.358974,1303.633333
62,1240.228571,1105.046512,1054.7,1279.896552
63,832.8529412,931.6888889,987.8095238,1078.78125
64,1295.457143,1191.1875,1220.97561,1401.46875
65,1236.305556,1177.291667,1292.926829,1364.28125
66,1830.931034,1859.861111,1792.69697,1864.608696