subID,common,no common
1,1069.276316,1202.407895
2,1685,1558.961039
3,1490.947368,1566.826087
4,1420.890411,1549.111111
5,1247.433333,1478.79661
6,1405.473684,1151.638889
7,1536.671053,1579.405405
8,986.7594937,1136.493671
9,1436.2875,1521.962025
10,1280.142857,1478.36
11,1510.150685,1608.32
12,1380.459459,1554.77027
13,776.0909091,800.2173913
14,1599.323077,1588.819672
15,1537.80597,1441.630769
16,1211.726027,1368.130435
17,1580.222222,1520.223881
18,1215.897059,1174.666667
19,1512.333333,1356.610169
20,1408.183099,1410.779661
21,949.1772152,1202.3125
22,1210.413333,1478.810127
23,1327.163934,1279.517857
24,1902.671429,1853.318182
25,1234.407895,1446.641026
26,1043.911392,1209.666667
27,1697.833333,1742.917808
28,1541.188679,1689.3
29,1271.105263,1248.487179
30,1586.888889,1653.273973
31,903.5,1307.653333
32,1143.897436,1161.551282
33,1378.486842,1741.802632
34,777.1219512,675.4545455
35,1932.729167,2000.25
36,1285.893939,1419.636364
37,1521.5,1430.392857
38,1279.74359,1279.6625
39,1060,1201.612245
40,1491.157143,1491.040541
41,1686.337838,1661.216216
42,1504.704225,1701.30137
43,1196.7625,1515.9875
44,1377.917808,1394.958333
45,1412.1875,1406.41791
46,1630.162162,1796.129032
47,1347.763889,1454.417722
48,1456.05,1437.194805
49,1359.556962,1467.552632
50,1152.71831,1293.767123
51,1144,1248.268293
52,1853.147541,1730.970588
53,846.6883117,1103.582278
54,1079.2,1172.717949
55,1199.043478,1344.52381
56,914.8441558,1095.177215
57,982.1388889,1198.759494
58,1177.202703,1367.789474
59,1348.040541,1322.12987
60,1140.934211,1315.763158
61,1126.535211,1228.821918
62,1132.649351,1175.472222
63,915.961039,992.8181818
64,1255.276316,1275.3
65,1261.205128,1252.0875
66,1790.40625,1861.711864