subID,FL,NonFL
1,1060.810127,1179.802817
2,1648.185185,1553.223881
3,1504.109589,1535.485714
4,1453.666667,1495.42029
5,1383.015625,1323.018519
6,1299.95122,1197.15625
7,1567.164557,1555.391304
8,1041.690476,1098.097222
9,1438.831325,1516.310811
10,1389.296296,1374.28125
11,1483.337662,1625.571429
12,1408.246914,1543.257576
13,833.0882353,713.2272727
14,1448.296875,1766.133333
15,1438.901408,1545.050847
16,1242.487179,1342.859375
17,1448.544118,1672.033333
18,1186.338235,1186.901639
19,1369.6,1498.541667
20,1392.25,1419.466667
21,1066.964286,1082.452055
22,1202.740741,1509.383562
23,1331.061538,1244.54
24,1829.014706,1936.731343
25,1326.325301,1360.112676
26,1086.182927,1161.657534
27,1750.704225,1678.761194
28,1637.35,1579.232558
29,1183.037037,1352.444444
30,1550.486842,1698.102941
31,1165.2625,1037.277778
32,1131.62963,1164.891892
33,1539.886076,1582.068493
34,683.3409091,778.1
35,2003.652174,1942.177778
36,1298.410959,1378.894737
37,1432.333333,1521.085106
38,1231.084337,1309.315068
39,1103.1,1153.803922
40,1426.379747,1558.47619
41,1635.54321,1725.307692
42,1547.696203,1688.921875
43,1355.416667,1340.445946
44,1356.105263,1399.705882
45,1403.257143,1426.423729
46,1752.8125,1664.055556
47,1372.283951,1441.405797
48,1387.304878,1506.849315
49,1396.580247,1423.333333
50,1191.75641,1232.169231
51,1238.32,1106.027027
52,1708.140625,1836.603175
53,943.5555556,991.7945205
54,1113.746835,1131.777778
55,1266.867925,1289.294118
56,983.7682927,1035.39726
57,1015.5,1192.028169
58,1344.202532,1195.394366
59,1301.8875,1371.681159
60,1180.925926,1282.450704
61,1091.608108,1275.782609
62,1165.705128,1149.347826
63,889.1518987,1027.148649
64,1235.156627,1300.09589
65,1202.583333,1324.205479
66,1846.953846,1822.232143