subID,Use Color,Didn't Use,Unsure,,,independent t test
1,661.2986111,808.025974,834.3483871,,,
2,803.522293,755.3241379,909.6454545,,,
3,695.6794872,675.4,720.9272727,,,
4,737.375,708.0833333,707.6381579,,,
5,751.5477707,698.0779221,732.2482759,,,
6,845.5652174,826.3376623,855.792,,,
7,761.125,860.295302,804.9803922,,,
8,717.6878981,646.7025316,707.7612903,,,
9,850.8769231,948.1428571,774.7987013,,,
10,810.0410959,743.5915493,759.0208333,,,
11,650.8427673,637.4705882,652.163522,,,
12,811.5034014,820.1972789,627.8258065,,,
13,669.408805,843.6148649,811.8037975,,,
14,577.0813008,774.124031,787.518797,,,
15,603.8280255,600.4875,780.235345,,,
16,644.0254777,827.5693431,,,,
17,706.537931,230.3424658,,,,
18,784.5104895,684.2955975,,,,
19,638.5414013,790.7164179,,,,
20,711.44375,832.1259259,,,,
21,856.0331126,812.0064103,,,,
22,646.7898089,716.0754717,,,,
23,777.6617647,759.8489209,,,,
24,1003.795775,739.6506849,,,,
25,632.352518,,,,,
26,642.1753247,,,,,
27,712,,,,,